name,lat,lon,region,subregion
Mauritius,-20.163688,58.765571,Africa,Eastern_Africa
Mexico,24.127293,-103.578389,Americas,Central_America
Micronesia,6.293391,160.009199,Oceania,Micronesia
Moldova,47.089793,28.503436,Europe,Eastern_Europe
Monaco,43.747842,7.412771,Europe,Western_Europe
Mongolia,47.224048,103.803616,Asia,Eastern_Asia
Montenegro,42.751687,19.296053,Europe,Southern_Europe
Morocco,31.416697,-6.735714,Africa,Northern_Africa
Mozambique,-17.646889,35.189844,Africa,Eastern_Africa
Myanmar,21.395854,96.297484,Asia,South-Eastern_Asia
Namibia,-21.547573,18.124303,Africa,Southern_Africa
Nauru,-0.528315,166.923192,Oceania,Micronesia
Nepal,28.195011,84.219606,Asia,Southern_Asia
Netherlands,52.160556,5.208745,Europe,Western_Europe
New_Zealand,-44.818879,169.429133,Oceania,Australia_and_New_Zealand
Nicaragua,12.905887,-84.953159,Americas,Central_America
Niger,16.750195,8.214956,Africa,Western_Africa
Nigeria,8.976808,7.987788,Africa,Western_Africa
North_Korea,40.076414,127.206462,Asia,Eastern_Asia
Norway,61.518479,9.50363,Europe,Northern_Europe
Oman,21.073477,56.133518,Asia,Western_Asia
Pakistan,29.656567,68.682852,Asia,Southern_Asia
Palau,7.506065,134.568944,Oceania,Micronesia
Palestine,31.92157,35.20329,Asia,Western_Asia
Panama,8.458999,-80.108938,Americas,Central_America
Papua_New_Guinea,-6.664343,148.160159,Oceania,Melanesia
Paraguay,-23.520255,-58.175581,Americas,South_America
Peru,-9.667213,-75.326728,Americas,South_America
Philippines,11.244724,122.731179,Asia,South-Eastern_Asia
Poland,52.096874,19.183304,Europe,Eastern_Europe
Portugal,39.638365,-7.970937,Europe,Southern_Europe
Puerto_Rico,18.215092,-66.344216,Americas,Caribbean
Qatar,25.306142,51.178845,Asia,Western_Asia
Romania,45.645985,25.17443,Europe,Eastern_Europe
Russia,62.844319,90.124708,Europe,Eastern_Europe
Rwanda,-2.032464,29.893166,Africa,Eastern_Africa
Saint_Lucia,13.903085,-60.9659,Americas,Caribbean
Samoa,-13.780031,-172.115116,Oceania,Polynesia
San_Marino,43.947449,12.460984,Europe,Southern_Europe
Sao_Tome,0.650952,6.848193,Africa,Middle_Africa
Saudi_Arabia,23.996171,44.504129,Asia,Western_Asia
Senegal,13.848381,-14.866348,Africa,Western_Africa
Serbia,44.092352,20.720026,Europe,Southern_Europe
Seychelles,-7.291142,50.434704,Africa,Eastern_Africa
Sierra_Leone,8.423922,-11.939061,Africa,Western_Africa
Singapore,1.351663,103.813638,Asia,South-Eastern_Asia
Slovakia,48.724856,19.669794,Europe,Eastern_Europe
Slovenia,46.131639,14.872133,Europe,Southern_Europe
Solomon_Islands,-8.910545,159.537743,Oceania,Melanesia
Somalia,6.402382,45.804496,Africa,Eastern_Africa
South_Africa,-28.695832,25.029527,Africa,Southern_Africa
South_Korea,35.861497,127.355541,Asia,Eastern_Asia
Spain,38.632397,-5.0852,Europe,Southern_Europe
Sri_Lanka,8.173787,80.549014,Asia,Southern_Asia
St_Kitts,17.313103,-62.736679,Americas,Caribbean
St_Vincent,13.256242,-61.192859,Americas,Caribbean
Sudan,13.197363,30.439371,Africa,Northern_Africa
Suriname,4.167872,-55.867785,Americas,South_America
Swaziland,-26.574906,31.520087,Africa,Southern_Africa
Sweden,64.545152,16.738748,Europe,Northern_Europe
Switzerland,46.757811,8.328122,Europe,Western_Europe
Syria,35.104411,38.475003,Asia,Western_Asia
Tajikistan,38.775212,70.833845,Asia,Central_Asia
Tanzania,-6.42256,35.381934,Africa,Eastern_Africa
Thailand,15.502027,101.199542,Asia,South-Eastern_Asia
Tibetans,32,90,Asia,Southern_Asia
Timor_Leste,-8.839555,125.7115,Asia,South-Eastern_Asia
Togo,8.747135,0.88087,Africa,Western_Africa
Tonga,-20.313602,-174.796027,Oceania,Polynesia
Trinidad_Tobago,10.563222,-61.241299,Americas,Caribbean
Tunisia,34.219543,9.819744,Africa,Northern_Africa
Turkey,39.136216,33.36457,Asia,Western_Asia
Turkmenistan,39.191547,58.766406,Asia,Central_Asia
Turks,21.792145,-71.733806,Americas,Caribbean
Tuvalu,-7.540024,178.283237,Oceania,Polynesia
Uganda,1.324938,32.233743,Africa,Eastern_Africa
Ukraine,48.074673,31.752265,Europe,Eastern_Europe
United_Kingdom,52.597352,-1.534873,Europe,Northern_Europe
United_States,40.252636,-100.999161,Americas,Northern_America
Uruguay,-32.721374,-56.024798,Americas,South_America
Uzbekistan,41.447353,64.79929,Asia,Central_Asia
Vanuatu,-16.308522,167.89617,Oceania,Melanesia
Venezuela,7.80464,-65.891969,Americas,South_America
VietNam,12.344649,108.343625,Asia,South-Eastern_Asia
Western_Sahara,24.558661,-13.13169,Africa,Northern_Africa
Yemen,15.563412,47.950477,Asia,Western_Asia
Zambia,-13.047165,28.051606,Africa,Eastern_Africa
Zimbabwe,-18.931388,29.676439,Africa,Eastern_Africa
